"cite_key";"title";"author";"abstract";"booktitle";"label"
"Banerjee2015";"ON THE COST OF MINING VERY LARGE OPEN SOURCE REPOSITORIES";"S. Banerjee and B. Cukic";"Open source bug tracking systems provide a rich information suite that is actively used by software engineering researchers to design solutions to triaging, duplicate classification and developer assignment problems. Today, open repositories often contain in excess of 100, 000 reports, and in cases of RedHat and Mozilla, over a million. Obtaining and analyzing the contents of such datasets are both time and resource consuming. By summarizing the related work we demonstrate that researchers often focused on smaller subsets of the data, and seldom embrace the “big-dataism”. With the emergence of cloud based computation systems such as Amazon EC2, one expects it to be easier to perform large scale analyses. However, our detailed time and cost analysis indicates that significant challenges still remain. Acquiring the open source data can be time intensive, and prone to being misinterpreted as Denial of Service attacks. Generating similarity scores for all prior reports, for example, is a polynomial time problem. In this paper, we present actual costs that we incurred when analyzing the complete repositories from Eclipse, Firefox and Open Office. In our approach, we relied on computing clusters to process the data in an attempt to reduce the cost of analyzing large datasets on the cloud. We present estimated costs for a researcher attempting to analyze complete datasets from Eclipse, Mozilla, Novell and RedHat using the best possible resources. In an ideal situation, with no bottlenecks, a researcher investing just over $40, 000 and 2 weeks of non stop computing time would be able to measure similarity of problem reports within all four datasets.";"Big Data Software Engineering (BIGDSE), 2015 IEEE/ACM 1st International Workshop on";"inproceedings"
"Banerjee:2012:ADB:2417496.2417520";"AUTOMATED DUPLICATE BUG REPORT CLASSIFICATION USING SUBSEQUENCE MATCHING";"Banerjee, Sean and Cukic, Bojan and Adjeroh, Donald";"";"Proceedings of the 2012 IEEE 14th International Symposium on High-Assurance Systems Engineering";"inproceedings"
"Banerjee2015a";"ECLIPSE VS. MOZILLA: A COMPARISON OF TWO LARGE-SCALE OPEN SOURCE PROBLEM REPORT REPOSITORIES";"S. Banerjee and J. Helmick and Z. Syed and B. Cukic";"Bug tracking systems play an important role in the development and maintenance of large-scale software systems. Having access to open source bug tracking systems has allowed researchers to take advantage of rich datasets and propose solutions to manage duplicate report classification, developer assignment and quality assessment. In spite of research advances, our understanding of the content of these repositories remains limited, primarily because of their size. In many cases, researchers analyze small portions of datasets thus limiting the understanding of the dynamics of problem reporting. The objective of this study is to explore the properties of two large-scale open source problem report repositories. The Eclipse dataset, at the time of download, consisted of 363; 770 reports spanning 11+ years, whereas Mozilla contained 699; 085 reports spanning 14+ years.Our research examines the evolution of datasets over time by analyzing the changes in the repository and the profiles of users who submit problem reports. We provide quantitative evidence on how submitter's maturity reduces the propensity to submit poor quality, insignificant or duplicate reports. We show that a diverse user base, characteristic of Mozilla, creates challenges for the development team as they spend more time triaging, rather than fixing, issues. Finally, we provide the research community with a series of observations and suggestions on how to study large-scale problem repositories.";"2015 IEEE 16th International Symposium on High Assurance Systems Engineering";"inproceedings"
"Bangcharoensap:2012:LSC:2419061.2419428";"LOCATING SOURCE CODE TO BE FIXED BASED ON INITIAL BUG REPORTS - A CASE STUDY ON THE ECLIPSE PROJECT";"Bangcharoensap, Phiradet and Ihara, Akinori and Kamei, Yasutaka and Matsumoto, Ken-ichi";"";"Proceedings of the 2012 Fourth International Workshop on Empirical Software Engineering in Practice";"inproceedings"
"Banitaan2013";"DECOBA: UTILIZING DEVELOPERS COMMUNITIES IN BUG ASSIGNMENT";"S. Banitaan and M. Alenezi";"Bug Tracking System (BTS) is public ally accessible which enables geographically distributed developers to follow the work of each other and contribute in bug fixing. Developer interactions through commenting on bug reports generate a developer social network that can be used to improve software development and maintenance activities. In large scale complex software projects, software maintenance requires larger groups to participate in its activities. Most previous bug assignments approaches assign only one developer to new bugs. However, bug fixing is a collaborative effort between several developers (i.e., many developers contribute their experience in fixing a bug report). In this work, we build developers social networks based on developers comments on bug reports and detect developers communities. We also assign a relevant community to each newly committed bug report. Moreover, we rank developers in each community based on their experience. An experimental evaluation is conducted on three open source projects namely Net Beans, Free desktop, and Mandriva. The results show that the detected communities are significantly connected with high density. They also show that the proposed approach achieves feasible accuracy of bug assignment.";"Machine Learning and Applications (ICMLA), 2013 12th International Conference on";"inproceedings"
"Baysal:2013:SAP:2486788.2486957";"SITUATIONAL AWARENESS: PERSONALIZING ISSUE TRACKING SYSTEMS";"Baysal, Olga and Holmes, Reid and Godfrey, Michael W.";"";"Proceedings of the 2013 International Conference on Software Engineering";"inproceedings"
"Baysal2012";"REVISITING BUG TRIAGE AND RESOLUTION PRACTICES";"O. Baysal and R. Holmes and M. W. Godfrey";"Bug triaging is an error-prone, tedious and time-consuming task. However, little qualitative research has been done on the actual use of bug tracking systems, bug triage, and resolution processes. We are planning to conduct a qualitative study to understand the dynamics of bug triage and fixing process, as well as bug reassignments and reopens. We will study interviews conducted with Mozilla Core and Firefox developers to get insights into the primary obstacles developers face during the bug fixing process. Is the triage process flawed? Does bug review slow things down? Does approval takes too long? We will also categorize the main reasons for bug reassignments and reopens. We will then combine results with a quantitative study of Firefox bug reports, focusing on factors related to bug report edits and number of people involved in handling the bug.";"User Evaluation for Software Engineering Researchers (USER), 2012";"inproceedings"
"Baysal2013";"THE INFLUENCE OF NON-TECHNICAL FACTORS ON CODE REVIEW";"O. Baysal and O. Kononenko and R. Holmes and M. W. Godfrey";"When submitting a patch, the primary concerns of individual developers are “How can I maximize the chances of my patch being approved, and minimize the time it takes for this to happen?” In principle, code review is a transparent process that aims to assess qualities of the patch by their technical merits and in a timely manner; however, in practice the execution of this process can be affected by a variety of factors, some of which are external to the technical content of the patch itself. In this paper, we describe an empirical study of the code review process for WebKit, a large, open source project; we replicate the impact of previously studied factors - such as patch size, priority, and component and extend these studies by investigating organizational (the company) and personal dimensions (reviewer load and activity, patch writer experience) on code review response time and outcome. Our approach uses a reverse engineered model of the patch submission process and extracts key information from the issue tracking and code review systems. Our findings suggest that these nontechnical factors can significantly impact code review outcomes.";"2013 20th Working Conference on Reverse Engineering (WCRE)";"inproceedings"
"Bettenburg2008a";"WHAT MAKES A GOOD BUG REPORT?";"Bettenburg, Nicolas and Just, Sascha and Schroter, Adrian and Weiss, Cathrin and Premraj, Rahul and Zimmermann, Thomas";"In software development, bug reports provide crucial information to developers. However, these reports widely differ in their quality. We conducted a survey among developers and users of APACHE, ECLIPSE, and MOZILLA to find out what makes a good bug report. The analysis of the 466 responses revealed an information mismatch between what developers need and what users supply. Most developers consider steps to reproduce, stack traces, and test cases as helpful, which are at the same time most difficult to provide for users. Such insight is helpful to design new bug tracking tools that guide users at collecting and providing more helpful information. Our CUEZILLA prototype is such a tool and measures the quality of new bug reports; it also recommends which elements should be added to improve the quality. We trained CUEZILLA on a sample of 289 bug reports, rated by developers as part of the survey. In our experiments, CUEZILLA was able to predict the quality of 31 - 48% of bug reports accurately. &copy; 2008 ACM.";"";"inproceedings"
"Beck2015";"RETHINKING USER INTERFACES FOR FEATURE LOCATION";"F. Beck and B. Dit and J. Velasco-Madden and D. Weiskopf and D. Poshyvanyk";"Locating features in large software systems is a fundamental maintenance task for developers when fixing bugs and extending software. We introduce In Situ Impact Insight (I3), a novel user interface to support feature location. In addition to a list of search results, I3 provides support for developers during browsing and inspecting the retrieved code entities. In situ visualizations augment results and source code with additional information relevant for further exploration. Developers are able to retrieve details on the textual similarity of a source code entity to the search query and to other entities, as well as the information on co-changed entities from a project's history. Execution traces recorded during program runs can be used as filters to further refine the search results. We implemented I3 as an Eclipse plug-in and tested it in a user study involving 18 students and professional developers that were asked to perform three feature location tasks chosen from the issue tracking system of jEdit. The results of our study suggest that I3's user interface is intuitive and unobtrusively supports developers with the required information when and where they need it.";"2015 IEEE 23rd International Conference on Program Comprehension";"inproceedings"
"Beckhaus2010";"THE IMPACT OF COLLABORATION NETWORK STRUCTURE ON ISSUE TRACKING'S PROCESS EFFICIENCY AT A LARGE BUSINESS SOFTWARE VENDOR";"A. Beckhaus and L. M. Karg and D. Neumann";"Researchers in the IS domain have addressed communication structure and its effect on performance. While early research focused on small networks and utilized sociometric surveys, recent works have concentrated on electronic data sources provided by open source software repositories. Surprisingly, software vendors have less frequently been studied despite their need for continuous enhancement of organizational design. In this study, we analyze a global business software vendor by utilizing existing data sources. We investigate the association of both collaboration network centrality and communication with process efficiency. Despite coping with complex, interweaved processes and social networks, we find that communication, centrality in the large case-study-wide network, and communication pattern homogeneity are positively associated with process efficiency. However, centrality in small work groups slows the analyzed issue tracking process down, possibly due to increased overhead and bottleneck effects that become visible when looking at single issues qualitatively.";"System Sciences (HICSS), 2010 43rd Hawaii International Conference on";"inproceedings"
"Behl2014";"A BUG MINING TOOL TO IDENTIFY AND ANALYZE SECURITY BUGS USING NAIVE BAYES AND TF-IDF: A COMPARATIVE ANALYSIS";"Behl, D. and Handa, S. and Arora, A.";"Bug report contains a vital role during software development, However bug reports belongs to different categories such as performance, usability, security etc. This paper focuses on security bug and presents a bug mining system for the identification of security and non-security bugs using the term frequency-inverse document frequency (TF-IDF) weights and naïve bayes. We performed experiments on bug report repositories of bug tracking systems such as bugzilla and debugger. In the proposed approach we apply text mining methodology and TF-IDF on the existing historic bug report database based on the bug s description to predict the nature of the bug and to train a statistical model for manually mislabeled bug reports present in the database. The tool helps in deciding the priorities of the incoming bugs depending on the category of the bugs i.e. whether it is a security bug report or a non-security bug report, using naïve bayes. Our evaluation shows that our tool using TF-IDF is giving better results than the naïve bayes method. © 2014 IEEE.";"";"conference"
"Bettenburg:2007:QBR:1328279.1328284";"QUALITY OF BUG REPORTS IN ECLIPSE";"Bettenburg, Nicolas and Just, Sascha and Schr\\\""{o}ter, Adrian and Wei\\ss, Cathrin and Premraj, Rahul and Zimmermann, Thomas";"";"Proceedings of the 2007 OOPSLA Workshop on Eclipse Technology eXchange";"inproceedings"
"Bhattacharya:2011:BTP:1985441.1985472";"BUG-FIX TIME PREDICTION MODELS: CAN WE DO BETTER?";"Bhattacharya, Pamela and Neamtiu, Iulian";"";"Proceedings of the 8th Working Conference on Mining Software Repositories";"inproceedings"
"Bissyande:2013:OSP:2549855.2549894";"ORION: A SOFTWARE PROJECT SEARCH ENGINE WITH INTEGRATED DIVERSE SOFTWARE ARTIFACTS";"Bissyand{\\'e}, Tegawend{\\'e} F. and Thung, Ferdian and Lo, David and Jiang, Lingxiao and R{\\'e}veill\\\`{e}re, Laurent";"";"Proceedings of the 2013 18th International Conference on Engineering of Complex Computer Systems";"inproceedings"
"Bissyande2013";"EMPIRICAL EVALUATION OF BUG LINKING";"Bissyandé, T.F.a and Thung, F.b and Wang, S.b and Lo, D.b and Jiang, L.b and Réveillère, L.a ";"To collect software bugs found by users, development teams often set up bug trackers using systems such as Bugzilla. Developers would then fix some of the bugs and commit corresponding code changes into version control systems such as svn or git. Unfortunately, the links between bug reports and code changes are missing for many software projects as the bug tracking and version control systems are often maintained separately. Yet, linking bug reports to fix commits is important as it could shed light into the nature of bug fixing processes and expose patterns in software management. Bug linking solutions, such as ReLink, have been proposed. The demonstration of their effectiveness however faces a number of issues, including a reliability issue with their ground truth datasets as well as the extent of their measurements. We propose in this study a benchmark for evaluating bug linking solutions. This benchmark includes a dataset of about 12,000 bug links from 10 programs. These true links between bug reports and their fixes have been provided during bug fixing processes. We designed a number of research questions, to assess both quantitatively and qualitatively the effectiveness of a bug linking tool. Finally, we apply this benchmark on ReLink to report the strengths and limitations of this bug linking tool. © 2013 IEEE.";"";"conference"
"Boisselle2015";"THE IMPACT OF CROSS-DISTRIBUTION BUG DUPLICATES, EMPIRICAL STUDY ON DEBIAN AND UBUNTU";"V. Boisselle and B. Adams";"Although open source distributions like Debian and Ubuntu are closely related, sometimes a bug reported in the Debian bug repository is reported independently in the Ubuntu repository as well, without the Ubuntu users nor developers being aware. Such cases of undetected cross-distribution bug duplicates can cause developers and users to lose precious time working on a fix that already exists or to work individually instead of collaborating to find a fix faster. We perform a case study on Ubuntu and Debian bug repositories to measure the amount of cross-distribution bug duplicates and estimate the amount of time lost. By adapting an existing within-project duplicate detection approach (achieving a similar recall of 60%), we find 821 cross-duplicates. The early detection of such duplicates could reduce the time lost by users waiting for a fix by a median of 38 days. Furthermore, we estimate that developers from the different distributions lose a median of 47 days in which they could have collaborated together, had they been aware of duplicates. These results show the need to detect and monitor cross-distribution duplicates.";"Source Code Analysis and Manipulation (SCAM), 2015 IEEE 15th International Working Conference on";"inproceedings"
"Bortis:2011:TCB:1984642.1984659";"TEAMBUGS: A COLLABORATIVE BUG TRACKING TOOL";"Bortis, Gerald and van der Hoek, Andr{\\'e}";"";"Proceedings of the 4th International Workshop on Cooperative and Human Aspects of Software Engineering";"inproceedings"
"Bougie2010";"A COMPARATIVE EXPLORATION OF FREEBSD BUG LIFETIMES";"G. Bougie and C. Treude and D. M. German and M. A. Storey";"In this paper, we explore the viability of mining the basic data provided in bug repositories to predict bug lifetimes. We follow the method of Lucas D. Panjer as described in his paper, Predicting Eclipse Bug Lifetimes. However, in place of Eclipse data, the FreeBSD bug repository is used. We compare the predictive accuracy of five different classification algorithms applied to the two data sets. In addition, we propose future work on whether there is a more informative way of classifying bugs than is considered by current bug tracking systems.";"2010 7th IEEE Working Conference on Mining Software Repositories (MSR 2010)";"inproceedings"
"Breu:2010:INB:1718918.1718973";"INFORMATION NEEDS IN BUG REPORTS: IMPROVING COOPERATION BETWEEN DEVELOPERS AND USERS";"Breu, Silvia and Premraj, Rahul and Sillito, Jonathan and Zimmermann, Thomas";"";"Proceedings of the 2010 ACM Conference on Computer Supported Cooperative Work";"inproceedings"
"Caglayan:2012:FCR:2365324.2365327";"FACTORS CHARACTERIZING REOPENED ISSUES: A CASE STUDY";"Caglayan, Bora and Misirli, Ayse Tosun and Miranskyy, Andriy and Turhan, Burak and Bener, Ayse";"";"Proceedings of the 8th International Conference on Predictive Models in Software Engineering";"inproceedings"
"Callahan1998";"WEB-BASED ISSUE TRACKING FOR LARGE SOFTWARE PROJECTS";"Callahan, J.R.a c d e and Khatsuriya, R.R.a f g and Hefner, R.b h i ";"Many problems are found and fixed during the development of a software system. The Project Issue Tracking System toolkit, a Web-based issue-management tool, can be used to organize issue reports during development and to communicate with different project teams around the world.";"";"article"
"Canfora:2005:IAM:1090955.1092169";"IMPACT ANALYSIS BY MINING SOFTWARE AND CHANGE REQUEST REPOSITORIES";"Canfora, Gerardo and Cerulo, Luigi";"";"Proceedings of the 11th IEEE International Software Metrics Symposium";"inproceedings"
"Canfora2009";"TRACKING YOUR CHANGES: A LANGUAGE-INDEPENDENT APPROACH";"G. Canfora and L. Cerulo and M. Di Penta";"Versioning and bug-tracking systems are invaluable assets for large software projects that involve developers spread worldwide and numerous users reporting bugs and proposing enhancements. In addition to supporting development, versioning systems are a precious source of information for studying or monitoring a software system's evolution.";"";"article"
"Cavalcanti:2013:TUS:2460999.2461028";"TOWARDS UNDERSTANDING SOFTWARE CHANGE REQUEST ASSIGNMENT: A SURVEY WITH PRACTITIONERS";"Cavalcanti, Yguarat\\~{a} Cerqueira and da Mota Silveira Neto, Paulo Anselmo and do Carmo Machado, Ivan and de Almeida, Eduardo Santana and de Lemos Meira, Silvio Romero";"";"Proceedings of the 17th International Conference on Evaluation and Assessment in Software Engineering";"inproceedings"
"Cavalcanti2010";"AN INITIAL STUDY ON THE BUG REPORT DUPLICATION PROBLEM";"Y. C. Cavalcanti and E. S. d. Almeida and C. E. A. d. Cunha and D. Lucredio and S. R. d. L. Meira";"According to recent work, duplicate bug report entries in bug tracking systems impact negatively on software maintenance and evolution productivity due to, among other factors, the increased time spent on report analysis and validation, what in some cases take over 20 minutes. Therefore, a considerable amount of time is lost mainly with duplicate bug report analysis. This work presents an initial characterization study using data from bug trackers from private and open source projects, in order to understand the possible factors that cause bug report duplication and its impact on software development.";"Software Maintenance and Reengineering (CSMR), 2010 14th European Conference on";"inproceedings"
"Cavalcanti2014";"CHALLENGES AND OPPORTUNITIES FOR SOFTWARE CHANGE REQUEST REPOSITORIES: A SYSTEMATIC MAPPING STUDY";"Cavalcanti, Y.C.a c d and Da Mota Silveira Neto, P.A.a c and Machado, I.D.C.b c and Vale, T.F.b c and De Almeida, E.S.b c and Meira, S.R.D.L.a c ";"Software maintenance starts as soon as the first artifacts are delivered and is essential for the success of the software. However, keeping maintenance activities and their related artifacts on track comes at a high cost. In this respect, change request (CR) repositories are fundamental in software maintenance. They facilitate the management of CRs and are also the central point to coordinate activities and communication among stakeholders. However, the benefits of CR repositories do not come without issues, and commonly occurring ones should be dealt with, such as the following: duplicate CRs, the large number of CRs to assign, or poorly described CRs. Such issues have led researchers to an increased interest in investigating CR repositories, by considering different aspects of software development and CR management. In this paper, we performed a systematic mapping study to characterize this research field. We analyzed 142 studies, which we classified in two ways. First, we classified the studies into different topics and grouped them into two dimensions: challenges and opportunities. Second, the challenge topics were classified in accordance with an existing taxonomy for information retrieval models. In addition, we investigated tools and services for CR management, to understand whether and how they addressed the topics identified. Copyright © 2013 John Wiley & Sons, Ltd. Change request repositories are fundamental for software maintenance. However, their benefits do not come without issues. We analyzed 142 studies to characterize the research on these issues and provide directions for future investigation. The studies were classified into topics and grouped into two dimensions: challenges and opportunities. Then, the challenges were classified in accordance with an existing taxonomy for information retrieval models. Additionally, we investigated different change request repositories to understand whether and how they addressed the topics identified. Copyright © 2013 John Wiley & Sons, Ltd.";"";"article"
"Gupta:2014:NMB:2590748.2590749";"NIRIKSHAN: MINING BUG REPORT HISTORY FOR DISCOVERING PROCESS MAPS, INEFFICIENCIES AND INCONSISTENCIES";"Gupta, Monika and Sureka, Ashish";"";"Proceedings of the 7th India Software Engineering Conference";"inproceedings"
"Cerulo2006";"ON THE USE OF PROCESS TRAILS TO UNDERSTAND SOFTWARE DEVELOPMENT";"L. Cerulo";"Software repositories, such as version control systems (CVS) and bug-tracking systems (Bugzilla), provide useful information about software process trails left by developers during the evolution of a software project. Mining these repositories provides a way to understand software development, to support predictions about software development, and to plan various aspects of software projects. We introduce three cases in the areas of impact analysis, change request assignment, and crosscutting concern mining, that takes benefit from historical information and show that the combination of different type of analyses can improve the performance of these software engineering models";"2006 13th Working Conference on Reverse Engineering";"inproceedings"
"Chandrasekaran2007";"AEGIS: A PROACTIVE METHODOLOGY TO SHIELD AGAINST ZERO-DAY EXPLOITS";"M. Chandrasekaran and M. Baig and S. Upadhyaya";"Given the large number of vulnerability instances disclosed in various bug-tracking communities, system administrators face an up-hill task of protecting their system/ network against zero-day exploits. In order to safeguard against such exploits, the present challenges come in two-fold: (i) there exists a compelling need to assimilate configuration specific vulnerability information from various bug-tracking diaspora; also (ii) there is a need to proactively generate policy specific signatures which act as a first line of defense. In this paper we propose an automated approach for determining vulnerabilities pertinent to the current network/ system configuration using the information aggregated from different bug tracking communities. Such vulnerability assessment and indication mechanisms significantly alleviate the system administratorÂ¿s burden of manual content digging for vulnerabilities in his own configuration context. Furthermore, we propose an Extensible Defense Oriented Representation Schema (EDORS) for vulnerability representation, which is subsequently used by the policy engine to generate appropriate signatures. As a result, the generated signatures can be viewed as a preventive interim security measure against recently published threats until its patch is released. We have also evaluated our framework through a series of experiments.";"Advanced Information Networking and Applications Workshops, 2007, AINAW '07. 21st International Conference on";"inproceedings"
"Chaturvedi2012";"AN EMPIRICAL COMPARISON OF MACHINE LEARNING TECHNIQUES IN PREDICTING THE BUG SEVERITY OF OPEN AND CLOSED SOURCE PROJECTS";"Chaturvedi, K.K.a and Singh, V.B.b ";"Bug severity is the degree of impact that a defect has on the development or operation of a component or system, and can be classified into different levels based on their impact on the system. Identification of severity level can be useful for bug triager in allocating the bug to the concerned bug fixer. Various researchers have attempted text mining techniques in predicting the severity of bugs, detection of duplicate bug reports and assignment of bugs to suitable fixer for its fix. In this paper, an attempt has been made to compare the performance of different machine learning techniques namely Support vector machine (SVM), probability based Naïve Bayes (NB), Decision Tree based J48 (A Java implementation of C4.5), rule based Repeated Incremental Pruning to Produce Error Reduction (RIPPER) and Random Forests (RF) learners in predicting the severity level (1 to 5) of a reported bug by analyzing the summary or short description of the bug reports. The bug report data has been taken from NASA's PITS (Projects and Issue Tracking System) datasets as closed source and components of Eclipse, Mozilla & GNOME datasets as open source projects. The analysis has been carried out in RapidMiner and STATISTICA data mining tools. The authors measured the performance of different machine learning techniques by considering (i) the value of accuracy and F-Measure for all severity level and (ii) number of best cases at different threshold level of accuracy and F-Measure. Copyright © 2012, IGI Global.";"";"article"
