data_hora_revisao;cite_key;titulo_artigo;ano_artigo;resumo_artigo;situacao_artigo;observacoes
2016/06/09 20:06:17;Bacchelli:2010:PCM:2128562.2128570;ARE POPULAR CLASSES MORE DEFECT PRONE?;2010;"

Traces of the evolution of software systems are left in a number of different repositories, such as configuration management systems, bug tracking systems, and mailing lists. Developers use e-mails to discuss issues ranging from low-level concerns (bug fixes, refactorings) to high-level resolutions (future planning, design decisions). Thus, e-mail archives constitute a valuable asset for understanding the evolutionary dynamics of a system.

We introduce metrics that measure the “popularity” of source code artifacts, i.e. the amount of discussion they generate in e-mail archives, and investigate whether the information contained in e-mail archives is correlated to the defects found in the system. Our hypothesis is that developers discuss problematic entities more than unproblematic ones. We also study whether the precision of existing techniques for defect prediction can be improved using our popularity metrics.
";Removido;
2016/06/09 20:09:13;Banerjee2015;ON THE COST OF MINING VERY LARGE OPEN SOURCE REPOSITORIES;2015;"Open source bug tracking systems provide a rich information suite that is actively used by software engineering researchers to design solutions to triaging, duplicate classification and developer assignment problems. Today, open repositories often contain in excess of 100,000 reports, and in cases of RedHat and Mozilla, over a million. Obtaining and analyzing the contents of such datasets are both time and resource consuming. By summarizing the related work we demonstrate that researchers often focused on smaller subsets of the data, and seldom embrace the ""big-dataism"". With the emergence of cloud based computation systems such as Amazon EC2, one expects it to be easier to perform large scale analyses. However, our detailed time and cost analysis indicates that significant challenges still remain. Acquiring the open source data can be time intensive, and prone to being misinterpreted as Denial of Service attacks. Generating similarity scores for all prior reports, for example, is a polynomial time problem. In this paper, we present actual costs that we incurred when analyzing the complete repositories from Eclipse, Firefox and Open Office. In our approach, we relied on computing clusters to process the data in an attempt to reduce the cost of analyzing large datasets on the cloud. We present estimated costs for a researcher attempting to analyze complete datasets from Eclipse, Mozilla, Novell and RedHat using the best possible resources. In an ideal situation, with no bottlenecks, a researcher investing just over $40,000 and 2 weeks of non stop computing time would be able to measure similarity of problem reports within all four datasets.";Removido;
2016/06/09 20:10:24;Banerjee:2012:ADB:2417496.2417520;AUTOMATED DUPLICATE BUG REPORT CLASSIFICATION USING SUBSEQUENCE MATCHING;2012;The use of open bug tracking repositories like Bugzilla is common in many software applications. They allow developers, testers and users the ability to report problems associated with the system and track resolution status. Open and democratic reporting tools, however, face one major challenge: users can, and often do, submit reports describing the same problem. Research in duplicate report detection has primarily focused on word frequency based similarity measures paying little regard to the context or structure of the reporting language. Thus, in large repositories, reports describing different issues may be marked as duplicates due to the frequent use of common words. In this paper, we present Factor LCS, a methodology which utilizes common sequence matching for duplicate report detection. We demonstrate the approach by analyzing the complete Fire fox bug repository up until March 2012 as well as a smaller subset of Eclipse dataset from January 1, 2008 to December 31, 2008. We achieve a duplicate recall rate above 70% with Fire fox, which exceeds the results reported on smaller subsets of the same repository.;Incluído;
2016/06/09 20:13:30;Banerjee2015a;ECLIPSE VS. MOZILLA: A COMPARISON OF TWO LARGE-SCALE OPEN SOURCE PROBLEM REPORT REPOSITORIES;2015;"Bug tracking systems play an important role in the development and maintenance of large-scale software systems. Having access to open source bug tracking systems has allowed researchers to take advantage of rich datasets and propose solutions to manage duplicate report classification, developer assignment and quality assessment. In spite of research advances, our understanding of the content of these repositories remains limited, primarily because of their size. In many cases, researchers analyze small portions of datasets thus limiting the understanding of the dynamics of problem reporting. The objective of this study is to explore the properties of two large-scale open source problem report repositories. The Eclipse dataset, at the time of download, consisted of 363; 770 reports spanning 11+ years, whereas Mozilla contained 699; 085 reports spanning 14+ years.Our research examines the evolution of datasets over time by analyzing the changes in the repository and the profiles of users who submit problem reports. We provide quantitative evidence on how submitter's maturity reduces the propensity to submit poor quality, insignificant or duplicate reports. We show that a diverse user base, characteristic of Mozilla, creates challenges for the development team as they spend more time triaging, rather than fixing, issues. Finally, we provide the research community with a series of observations and suggestions on how to study large-scale problem repositories.";Removido;
2016/06/09 20:16:43;Bangcharoensap:2012:LSC:2419061.2419428;LOCATING SOURCE CODE TO BE FIXED BASED ON INITIAL BUG REPORTS - A CASE STUDY ON THE ECLIPSE PROJECT;2012;In most software development, a Bug Tracking System is used to improve software quality. Based on bug reports managed by the bug tracking system, triagers who assign a bug to fixers and fixers need to pinpoint buggy files that should be fixed. However if triagers do not know the details of the buggy file, it is difficult to select an appropriate fixer. If fixers can identify the buggy files, they can fix the bug in a short time. In this paper, we propose a method to quickly locate the buggy file in a source code repository using 3 approaches, text mining, code mining, and change history mining to rank files that may be causing bugs. (1) The text mining approach ranks files based on the textual similarity between a bug report and source code. (2) The code mining approach ranks files based on prediction of the fault-prone module using source code product metrics. (3) The change history mining approach ranks files based on prediction of the fault-prone module using change process metrics. Using Eclipse platform project data, our proposed model gains around 20% in TOP1 prediction. This result means that the buggy files are ranked first in 20% of bug reports. Furthermore, bug reports that consist of a short description and many specific words easily identify and locate the buggy file.;Incluído;
2016/06/09 20:19:56;Banitaan2013;DECOBA: UTILIZING DEVELOPERS COMMUNITIES IN BUG ASSIGNMENT;2013;Bug Tracking System (BTS) is public ally accessible which enables geographically distributed developers to follow the work of each other and contribute in bug fixing. Developer interactions through commenting on bug reports generate a developer social network that can be used to improve software development and maintenance activities. In large scale complex software projects, software maintenance requires larger groups to participate in its activities. Most previous bug assignments approaches assign only one developer to new bugs. However, bug fixing is a collaborative effort between several developers (i.e., many developers contribute their experience in fixing a bug report). In this work, we build developers social networks based on developers comments on bug reports and detect developers communities. We also assign a relevant community to each newly committed bug report. Moreover, we rank developers in each community based on their experience. An experimental evaluation is conducted on three open source projects namely Net Beans, Free desktop, and Mandriva. The results show that the detected communities are significantly connected with high density. They also show that the proposed approach achieves feasible accuracy of bug assignment.;Incluído;
2016/06/09 20:22:01;Baysal:2013:SAP:2486788.2486957;SITUATIONAL AWARENESS: PERSONALIZING ISSUE TRACKING SYSTEMS;2013;"Issue tracking systems play a central role in ongoing software development; they are used by developers to support collaborative bug fixing and the implementation of new features, but they are also used by other stakeholders including managers, QA, and end-users for tasks such as project management, communication and discussion, code reviews, and history tracking. Most such systems are designed around the central metaphor of the ""issue"" (bug, defect, ticket, feature, etc.), yet increasingly this model seems ill fitted to the practical needs of growing software projects; for example, our analysis of interviews with 20 Mozilla developers who use Bugzilla heavily revealed that developers face challenges maintaining a global understanding of the issues they are involved with, and that they desire improved support for situational awareness that is difficult to achieve with current issue management systems. In this paper we motivate the need for personalized issue tracking that is centered around the information needs of individual developers together with improved logistical support for the tasks they perform. We also describe an initial approach to implement such a system — extending Bugzilla — that enhances a developer's situational awareness of their working context by providing views that are tailored to specific tasks they frequently perform; we are actively improving this prototype with input from Mozilla developers";Incluído;
2016/06/09 20:25:26;Baysal2012;REVISITING BUG TRIAGE AND RESOLUTION PRACTICES;2012;"Bug triaging is an error-prone, tedious and time-
consuming  task.  However,  little  qualitative  research  has  been
done on the actual use of bug tracking systems, bug triage, and
resolution processes. We are planning to conduct a qualitative
study  to  understand  the  dynamics  of  bug  triage  and  fixing
process,  as  well  as  bug  reassignments  and  reopens.  We  will
study  interviews  conducted  with  Mozilla  Core  and  Firefox
developers to get insights into the primary obstacles developers
face during the bug fixing process. Is the triage process flawed?
Does   bug   review   slow   things   down?   Does   approval   takes
too  long?  We  will  also  categorize  the  main  reasons  for  bug
reassignments and reopens. We will then combine results with
a quantitative study of Firefox bug reports, focusing on factors
related  to  bug  report  edits  and  number  of  people  involved  in
handling  the  bug.";Removido;
2016/06/09 20:27:20;Baysal2013;THE INFLUENCE OF NON-TECHNICAL FACTORS ON CODE REVIEW;2013;"When  submitting  a  patch,  the  primary  concerns  of
individual  developers  are  “How  can  I  maximize  the  chances
of  my  patch  being  approved,  and  minimize  the  time  it  takes
for  this  to  happen?”  In  principle,  code  review  is  a  transparent
process   that   aims   to   assess   qualities   of   the   patch   by   their
technical  merits  and  in  a  timely  manner;  however,  in  practice
the  execution  of  this  process  can  be  affected  by  a  variety  of
factors,  some  of  which  are  external  to  the  technical  content  of
the  patch  itself.  In  this  paper,  we  describe  an  empirical  study
of  the  code  review  process  for  WebKit,  a  large,  open  source
project;  we  replicate  the  impact  of  previously  studied  factors
—   such   as   patch   size,   priority,   and   component   and   extend
these  studies  by  investigating  organizational  (the  company)  and
personal  dimensions  (reviewer  load  and  activity,  patch  writer
experience)  on  code  review  response  time  and  outcome.  Our
approach uses a reverse engineered model of the patch submission
process  and  extracts  key  information  from  the  issue  tracking
and  code  review  systems.  Our  findings  suggest  that  these  non-
technical factors  can significantly impact code  review outcomes.";Removido;
2016/06/09 20:29:15;Bettenburg2008a;WHAT MAKES A GOOD BUG REPORT?;2010;"In software development, bug reports provide crucial information to developers. However, these reports widely differ in their quality. We conducted a survey among developers and users of APACHE, ECLIPSE, and MOZILLA to find out what makes a good bug report. The analysis of the 466 responses revealed an information mismatch between what developers need and what users supply. Most developers consider steps to reproduce, stack traces, and test cases as helpful, which are, at the same time, most difficult to provide for users. Such insight is helpful for designing new bug tracking tools that guide users at collecting and providing more helpful information. Our CUEZILLA prototype is such a tool and measures the quality of new bug reports; it also recommends which elements should be added to improve the quality. We trained CUEZILLA on a sample of 289 bug reports, rated by developers as part of the survey. The participants of our survey also provided 175 comments on hurdles in reporting and resolving bugs. Based on these comments, we discuss several recommendations for better bug tracking systems, which should focus on engaging bug reporters, better tool support, and improved handling of bug duplicate";Incluído;
2016/06/09 20:31:11;Beck2015;RETHINKING USER INTERFACES FOR FEATURE LOCATION;2015;Locating features in large software systems is a fundamental maintenance task for developers when fixing bugs and extending software. We introduce In Situ Impact Insight (I3), a novel user interface to support feature location. In addition to a list of search results, I3 provides support for developers during browsing and inspecting the retrieved code entities. In situ visualizations augment results and source code with additional information relevant for further exploration. Developers are able to retrieve details on the textual similarity of a source code entity to the search query and to other entities, as well as the information on co-changed entities from a project's history. Execution traces recorded during program runs can be used as filters to further refine the search results. We implemented I3 as an Eclipse plug-in and tested it in a user study involving 18 students and professional developers that were asked to perform three feature location tasks chosen from the issue tracking system of jEdit. The results of our study suggest that I3's user interface is intuitive and unobtrusively supports developers with the required information when and where they need it.;Incluído;
2016/06/09 20:32:24;Beckhaus2010;THE IMPACT OF COLLABORATION NETWORK STRUCTURE ON ISSUE TRACKING'S PROCESS EFFICIENCY AT A LARGE BUSINESS SOFTWARE VENDOR;2010;Researchers in the IS domain have addressed communication structure and its effect on performance. While early research focused on small networks and utilized sociometric surveys, recent works have concentrated on electronic data sources provided by open source software repositories. Surprisingly, software vendors have less frequently been studied despite their need for continuous enhancement of organizational design. In this study, we analyze a global business software vendor by utilizing existing data sources. We investigate the association of both collaboration network centrality and communication with process efficiency. Despite coping with complex, interweaved processes and social networks, we find that communication, centrality in the large case-study-wide network, and communication pattern homogeneity are positively associated with process efficiency. However, centrality in small work groups slows the analyzed issue tracking process down, possibly due to increased overhead and bottleneck effects that become visible when looking at single issues qualitatively.;Removido;
2016/06/09 20:33:14;Behl2014;A BUG MINING TOOL TO IDENTIFY AND ANALYZE SECURITY BUGS USING NAIVE BAYES AND TF-IDF: A COMPARATIVE ANALYSIS;2014;Bug report contains a vital role during software development, However bug reports belongs to different categories such as performance, usability, security etc. This paper focuses on security bug and presents a bug mining system for the identification of security and non-security bugs using the term frequency-inverse document frequency (TF-IDF) weights and naïve bayes. We performed experiments on bug report repositories of bug tracking systems such as bugzilla and debugger. In the proposed approach we apply text mining methodology and TF-IDF on the existing historic bug report database based on the bug s description to predict the nature of the bug and to train a statistical model for manually mislabeled bug reports present in the database. The tool helps in deciding the priorities of the incoming bugs depending on the category of the bugs i.e. whether it is a security bug report or a non-security bug report, using naïve bayes. Our evaluation shows that our tool using TF-IDF is giving better results than the naïve bayes method.;Incluído;
2016/06/09 20:34:40;Bettenburg:2007:QBR:1328279.1328284;QUALITY OF BUG REPORTS IN ECLIPSE;2007;The information in bug reports influences the speed at which bugs are fixed. However, bug reports differ in their quality of information. We conducted a survey among ECLIPSE developers to determine the information in reports that they widely used and the problems frequently encountered. Our results show that steps to reproduce and stack traces are most sought after by developers, while inaccurate steps to reproduce and incomplete information pose the largest hurdles. Surprisingly, developers are indifferent to bug duplicates. Such insight is useful to design new bug tracking tools that guide reporters at providing more helpful information. We also present a prototype of a quality-meter tool that measures the quality of bug reports by scanning its content.;Incluído;
2016/06/09 20:36:08;Bhattacharya:2011:BTP:1985441.1985472;BUG-FIX TIME PREDICTION MODELS: CAN WE DO BETTER?;2011;Predicting bug-fix time is useful in several areas of software evolution, such as predicting software quality or coordinating development effort during bug triaging. Prior work has proposed bug-fix time prediction models that use various bug report attributes (e.g., number of developers who participated in fixing the bug, bug severity, number of patches, bug-opener's reputation) for estimating the time it will take to fix a newly-reported bug. In this paper we take a step towards constructing more accurate and more general bug-fix time prediction models by showing how existing models fail to validate on large projects widely-used in bug studies. In particular, we used multivariate and univariate regression testing to test the prediction significance of existing models on 512,474 bug reports from five open source projects: Eclipse, Chrome and three products from the Mozilla project (Firefox, Seamonkey and Thunderbird). The results of our regression testing indicate that the predictive power of existing models is between 30% and 49% and that there is a need for more independent variables (attributes) when constructing a prediction model. Additionally, we found that, unlike in prior recent studies on commercial software, in the projects we examined there is no correlation between bug-fix likelihood, bug-opener's reputation and the time it takes to fix a bug. These findings indicate three open research problems: (1) assessing whether prioritizing bugs using bug-opener's reputation is beneficial, (2) identifying attributes which are effective in predicting bug-fix time, and (3) constructing bug-fix time prediction models which can be validated on multiple projects;Incluído;
2016/06/09 20:37:59;Bissyande:2013:OSP:2549855.2549894;ORION: A SOFTWARE PROJECT SEARCH ENGINE WITH INTEGRATED DIVERSE SOFTWARE ARTIFACTS;2013;"What projects contain more than 10,000 lines of code
developed by less than 10 people and are still actively maintained
with a high bug-fixing rate? To address the challenges for
answering such enquiries, we develop an integrated search engine
architecture that combines information from different types of
software repositories from multiple sources. Our search engine
facilitates the construction and execution of complex search
queries using a uniform interface that transparently correlates
different artifacts of project development and maintenance, such
as source code information, version control systems metadata,
bug tracking systems elements, and metadata on developer
activities and interactions extracted from hosting platforms.
We have built an extensible system with an initial capability of
over 100,000 projects collected from the web, featuring various
software development artifacts. Using scenarios, we illustrate the
benefits of such a search engine for different kinds of project
seekers.";Removido;
2016/06/09 20:40:12;Bissyande2013;EMPIRICAL EVALUATION OF BUG LINKING;2013;"

To collect software bugs found by users, development teams often set up bug trackers using systems such as Bugzilla. Developers would then fix some of the bugs and commit corresponding code changes into version control systems such as svn or git. Unfortunately, the links between bug reports and code changes are missing for many software projects as the bug tracking and version control systems are often maintained separately. Yet, linking bug reports to fix commits is important as it could shed light into the nature of bug fixing processes and expose patterns in software management. Bug linking solutions, such as ReLink, have been proposed. The demonstration of their effectiveness however faces a number of issues, including a reliability issue with their ground truth datasets as well as the extent of their measurements. We propose in this study a benchmark for evaluating bug linking solutions. This benchmark includes a dataset of about 12,000 bug links from 10 programs. These true links between bug reports and their fixes have been provided during bug fixing processes. We designed a number of research questions, to assess both quantitatively and qualitatively the effectiveness of a bug linking tool. Finally, we apply this benchmark on ReLink to report the strengths and limitations of this bug linking tool.
";incluído para Revisão em Pares;
2016/06/09 20:42:36;Boisselle2015;THE IMPACT OF CROSS-DISTRIBUTION BUG DUPLICATES, EMPIRICAL STUDY ON DEBIAN AND UBUNTU;2015;Although open source distributions like Debian and Ubuntu are closely related, sometimes a bug reported in the Debian bug repository is reported independently in the Ubuntu repository as well, without the Ubuntu users nor developers being aware. Such cases of undetected cross-distribution bug duplicates can cause developers and users to lose precious time working on a fix that already exists or to work individually instead of collaborating to find a fix faster. We perform a case study on Ubuntu and Debian bug repositories to measure the amount of cross-distribution bug duplicates and estimate the amount of time lost. By adapting an existing within-project duplicate detection approach (achieving a similar recall of 60%), we find 821 cross-duplicates. The early detection of such duplicates could reduce the time lost by users waiting for a fix by a median of 38 days. Furthermore, we estimate that developers from the different distributions lose a median of 47 days in which they could have collaborated together, had they been aware of duplicates. These results show the need to detect and monitor cross-distribution duplicates.;Incluído;
2016/06/09 20:43:39;Bortis:2011:TCB:1984642.1984659;TEAMBUGS: A COLLABORATIVE BUG TRACKING TOOL;2011;Bug trackers are considered to be one of the primary coordination tools in software development. Interactions with the bug tracker occur throughout the development process, in different settings, from the meeting room to the developer's desk. In this paper, we look at previous field studies of bug trackers and identify the key challenges in supporting coordination. We then describe through several scenarios TeamBugs, a new bug tracker tool. We conclude by raising several research questions for future work.;Incluído;
2016/06/09 20:44:47;Bougie2010;A COMPARATIVE EXPLORATION OF FREEBSD BUG LIFETIMES;2010;In this paper, we explore the viability of mining the basic data provided in bug repositories to predict bug lifetimes. We follow the method of Lucas D. Panjer as described in his paper, Predicting Eclipse Bug Lifetimes. However, in place of Eclipse data, the FreeBSD bug repository is used. We compare the predictive accuracy of five different classification algorithms applied to the two data sets. In addition, we propose future work on whether there is a more informative way of classifying bugs than is considered by current bug tracking systems.;Incluído;
2016/06/09 20:45:48;Breu:2010:INB:1718918.1718973;INFORMATION NEEDS IN BUG REPORTS: IMPROVING COOPERATION BETWEEN DEVELOPERS AND USERS;2010;For many software projects, bug tracking systems play a central role in supporting collaboration between the developers and the users of the software. To better understand this collaboration and how tool support can be improved, we have quantitatively and qualitatively analysed the questions asked in a sample of 600 bug reports from the MOZILLA and ECLIPSE projects. We categorised the questions and analysed response rates and times by category and project. Our results show that the role of users goes beyond simply reporting bugs: their active and ongoing participation is important for making progress on the bugs they report. Based on the results, we suggest four ways in which bug tracking systems can be improved.;Incluído;
2016/06/09 20:47:46;Caglayan:2012:FCR:2365324.2365327;FACTORS CHARACTERIZING REOPENED ISSUES: A CASE STUDY;2012;"

Background: Reopened issues may cause problems in managing software maintenance effort. In order to take actions that will reduce the likelihood of issue reopening the possible causes of bug reopens should be analysed.

Aims: In this paper, we investigate potential factors that may cause issue reopening.

Method: We have extracted issue activity data from a large release of an enterprise software product. We consider four dimensions, namely developer activity, issue proximity network, static code metrics of the source code changed to fix an issue, issue reports and fixes as possible factors that may cause issue reopening. We have done exploratory analysis on data. We build logistic regression models on data in order to identify key factors leading issue reopening. We have also conducted a survey regarding these factors with the QA Team of the product and interpreted the results.

Results: Our results indicate that centrality in the issue proximity network and developer activity are important factors in issue reopening. We have also interpreted our results with the QA Team to point out potential implications for practitioners.

Conclusions: Quantitative findings of our study suggest that issue complexity and developers workload play an important role in triggering issue reopening.
";Incluído;
