Indicação de data e hora,Identificador do Artigo,Título do Artigo,Resumo do Artigo,Palavras Chaves do Artigo,Contribuição do Artigo,Papel suportado pela ferramenta,Representação | Query,Representação | Document,Reasoning (Estratégia),Qual ferramenta estendida ou utilizada pela extensão,O artigo utiliza a base de dados da ferramenta?,A solução proposta virou uma extensão da ferramenta?,O artigo será incluído no Mapeamento,Observações adicionais
01/09/2016 22:15:47,chaturvedi2012empirical,AN EMPIRICAL COMPARISON OF MACHINE LEARNING TECHNIQUES IN PREDICTING THE BUG SEVERITY OF OPEN AND CLOSED SOURCE PROJECTS,"With the increasing use of software in every sphere of life, it is often found that software does not function properly or some of the functionalities need minor change for improvement. It is becoming very important to record these problems or changes using suitable bug reporting system. A bug or fault is a program defect that is encountered while operating the product either under test or in use. In order to provide the details of bug to the development team, different bug tracking systems are being used by the industry. The bug tracking systems are helpful in bug reporting as well as tracking the progress of bug fixes. Various bug tracking systems have been proposed in the available literature that includes Bugzilla (http://www.mantisbt.org/), etc. Recently, a bug tracking and reliability assessment tool has been proposed (Singh & Chaturvedi, 2011), which helps in tracking the progress of fix as well as reporting the bug. Various parameters are filled up by the tester or user who reports the bug. During bug reporting, different bug attributes namely bug title, short description or summary, detailed description, priority, severity are filled up. The value of severity and priority may not be accurate as far as the submitted report is concerned because users may not have complete information about the modules/ components in which the bug has occurred. Priority of a reported bug represents the urgency of its fix; accordingly a number or level associated with priority has to be assigned. There are five different numbers or levels defined for priority. In addition to the priority, another important parameter that affects the priority of the reported bug is severity. Severity is defined as the impact of bug in working functionality of a component or the system. The impact of the bug varies from user to user. Generally, people do require that their bug must be taken on a priority basis irrespective of the impact on the user or the developer or the system itself. Software projects have clear guidelines on how to assign a severity level to a bug. But, due to non-awareness, people often commit mistakes in assigning the severity level during bug reporting. The severity level can be categorized broadly in five to seven categories. Bug repository of closed source projects of NASA’s PITS (Projects and Issue Tracking System) dataset has five severity levels vary from the fullest to the dullest or from 1 to 5. Bug repositories of open source projects have defined seven severity levels, and these severity levels vary from the blocker, critical, major, enhancement, minor, normal, to trivial or from 1 to 7. Level 1 of severity represents fatal errors and crashes whereas level 5 or 7 of severity mostly represents cosmetic changes such as formatting, alignment, comments and display messages. Other severity levels are assigned for bugs due to addition of new features and enhancement of the existing feature. The default value “Normal” is normally assigned by most of the reporters because they do not analyze the bug seriously. Severity is a critical factor in deciding the priority of a reported bug. The numbers of reported bugs are usually quite high, hence, it is becoming necessary to have a tool/technique which can determine or verify the severity of a reported bug. It is the need of the hour to automate the process of determining the bug severity for the reported bug. Our work is based on the following research questions:",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,Não,Não,O artigo não está disponível em sua versão integral
01/09/2016 22:24:11,zou2015empirical,AN EMPIRICAL STUDY OF BUG FIXING RATE,"Bug fixing is one of the most important activities in software development and maintenance. A software project often employs an issue tracking system such as Bugzilla to store and manage their bugs. In the issue tracking system, many bugs are invalid but take unnecessary efforts to identify them. In this paper, we mainly focus on bug fixing rate, i.e., The proportion of the fixed bugs in the reported closed bugs. In particular, we study the characteristics of bug fixing rate and investigate the impact of a reporter's different contribution behaviors to the bug fixing rate. We perform an empirical study on all reported bugs of two large open source software communities Eclipse and Mozilla. We find (1) the bug fixing rates of both projects are not high, (2) there exhibits a negative correlation between a reporter's bug fixing rate and the average time cost to close the bugs he/she reports, (3) the amount of bugs a reporter ever fixed has a strong positive impact on his/her bug fixing rate, (4) reporters' bug fixing rates have no big difference, whether their contribution behaviors concentrate on a few products or across many products, (5) reporters' bug fixing rates tend to increase as time goes on, i.e., Developers become more experienced at reporting bugs.","Bug Reports, Bug Fixing Rate, Empirical Study, Statistical Analysis ",Análise do Taxa de resolução de Requisição de Mudanças.,N/A,N/A,N/A,N/A,N/A,Não,Não,Não,O artigo apenas avalia o fenômeno da tempo para corrigir uma Requisição de Mudança
01/09/2016 22:49:55,cavalcanti2010initial,AN INITIAL STUDY ON THE BUG REPORT DUPLICATION PROBLEM,"According to recent work, duplicate bug report entries in bug tracking systems impact negatively on software maintenance and evolution productivity due to, among other factors, the increased time spent on report analysis and validation, what in some cases take over 20 minutes. Therefore, a considerable amount of time is lost mainly with duplicate bug report analysis. This work presents an initial characterization study using data from bug trackers from private and open source projects, in order to understand the possible factors that cause bug report duplication and its impact on software development.","software maintenance, problem report, software bugs, report duplication ",Estudo de caracterização para entender os fatores que causam a duplicação de Requisição de Mudança.,N/A,N/A,N/A,N/A,N/A,Não,Não,Não,Trata-se de um estudo de caracterizaçaõ com objetivo de enteder o problema da duplicação de Requisição de Mudança. Não há proposição de ferramentas ou extensões.
01/09/2016 23:14:32,takama2013application,APPLICATION OF MONITORING SUPPORT VISUALIZATION TO BUG TRACKING SYSTEMS,"This paper proposes to apply information visualization technologies to the support of monitoring bug update information sent from multiple bug tracking systems. Bug update information managed by bug tracking systems (BTS) is one of text stream data, which continuously generates new data. Therefore, it is difficult for users to watch it all the time. In other words, the task of monitoring stream data inevitably involves breaks of the task, which would lose the context of monitoring. However, to the best of our knowledge, interaction design when involving breaks has not been fully studied yet. The proposed system visualizes the dynamic relationship between bugs with animation, and helps a user grasping the context of monitoring by highlighting updated bugs and the replay of animation for part of the last monitoring time. The effectiveness of the system is evaluated through experiments with test participants. Recent growth of the Web has brought us various kinds of text stream data, such as bulletin board systems (BBS), blogs, and social networking services (SNS). As such data is expected to be important resources for human support robots, this paper would contribute to interaction design of such robots.","bug tracking system, information visualization, monitoring support, stream data visualization ",Exibição do dados das Requsições de Mudança,Todos,N/A,N/A,N/A,Bugzilla,Sim,Não,Sim,
08/09/2016 19:28:35,saha2015these,Are these bugs really normal?,"Understanding the severity of reported bugs is important in both research and practice. In particular, a number of recently proposed mining-based software engineering techniques predict bug severity, bug report quality, and bug-fix time, according to this information. Many bug tracking systems provide a field ""severity"" offering options such as ""severe"", ""normal"", and ""minor"", with ""normal"" as the default. However, there is a widespread perception that for many bug reports the label ""normal"" may not reflect the actual severity, because reporters may overlook setting the severity or may not feel confident enough to do so. In many cases, researchers ignore ""normal"" bug reports, and thus overlook a large percentage of the reports provided. On the other hand, treating them all together risks mixing reports that have very diverse properties. In this study, we investigate the extent to which ""normal"" bug reports actually have the ""normal"" severity. We find that many ""normal"" bug reports in practice are not normal. Furthermore, this misclassification can have a significant impact on the accuracy of mining-based tools and studies that rely on bug report severity information.","Bug Severity, Bug Tracking System, Mining Software Repositories","Agrupando Requisição de Mudança anteriormente classificadas como ""normal"" como ""severo""",Gerente de Requisição de Mudança,N/A,N/A,N/A,Bugzilla,Sim,Não,Não,"A classificação foi realizada de forma manual, logo nenhuma extensão foi proposta. A contribuição do artigo é apresentar o percentual de bugs que não são normal."
08/09/2016 19:42:46,malheiros2012source,A source code recommender system to support newcomers,"Newcomers in a software development project often need assistance to complete their first tasks. Then a mentor, an experienced member of the team, usually teaches the newcomers what they need to complete their tasks. But, to allocate an experienced member of a team to teach a newcomer during a long time is neither always possible nor desirable, because the mentor could be more helpful doing more important tasks. During the development the team interacts with a version control system, bug tracking and mailing lists, and all these tools record data creating the project memory. Recommender systems can use the project memory to help newcomers in some tasks answering their questions, thus in some cases the developers do not need a mentor. In this paper we present Mentor, a recommender system to help newcomers to solve change requests. Mentor uses the Prediction by Partial Matching (PPM) algorithm and some heuristics to analyze the change requests, and the version control data, and recommend potentially relevant source code that will help the developer in the change request solution. We did three experiments to compare the PPM algorithm with the Latent Semantic Indexing (LSI). Using PPM we achieved results for recall rate between 37% and 66.8%, and using LSI the results were between 20.3% and 51.6%","information theory, recommender systems, software engineering,software maintenance ",Desenvolvimento de um sistema de recomendação para guia newcomers em sua tarefa de desnvolvimento.,Desenvolvedor,Keyword-basead,Stream of characters,With Uncertainty | Probability theories,Bugzilla,Sim,Não,Sim,
08/09/2016 20:05:41,mani2012ausum,AUSUM: APPROACH FOR UNSUPERVISED BUG REPORT SUMMARIZATION,"In most software projects, resolved bugs are archived for future reference. These bug reports contain valuable information on the reported problem, investigation and resolution. When bug triaging, developers look for how similar problems were resolved in the past. Search over bug repository gives the developer a set of recommended bugs to look into. However, the developer still needs to manually peruse the contents of the recommended bugs which might vary in size from a couple of lines to thousands. Automatic summarization of bug reports is one way to reduce the amount of data a developer might need to go through. Prior work has presented learning based approaches for bug summarization. These approaches have the disadvantage of requiring large training set and being biased towards the data on which the model was learnt. In fact, maximum efficacy was reported when the model was trained and tested on bug reports from the same project. In this paper, we present the results of applying four unsupervised summarization techniques for bug summarization. Industrial bug reports typically contain a large amount of noise---email dump, chat transcripts, core-dump---useless sentences from the perspective of summarization. These derail the unsupervised approaches, which are optimized to work on more well-formed documents. We present an approach for noise reduction, which helps to improve the precision of summarization over the base technique (4% to 24% across subjects and base techniques). Importantly, by applying noise reduction, two of the unsupervised techniques became scalable for large sized bug reports.","Unsupervised, Summarization, Bug Report",Sumarização dos dados da RM,"Gerente de Requisição de Mudança, Agendador, Desenvolvedor",Keyword-basead,Vector space,With Uncertainty | Fuzzy set theories,Bugzilla,Sim,Não,Sim,
08/09/2016 20:39:54,moran2015auto,AUTO-COMPLETING BUG REPORTS FOR ANDROID APPLICATIONS,"The modern software development landscape has seen a shift in focus toward mobile applications as tablets and smartphones near ubiquitous adoption. Due to this trend, the complexity of these “apps” has been increasing, making development and maintenance challenging. Additionally, current bug tracking systems are not able to effectively support construction of reports with actionable information that directly lead to a bug’s resolution. To address the need for an improved reporting system, we introduce a novel solution, called FUSION, that helps users auto-complete reproduction steps in bug reports for mobile apps. FUSION links user-provided information to program artifacts extracted through static and dynamic analysis performed before testing or release. The approach that FUSION employs is generalizable to other current mobile software platforms, and constitutes a new method by which off-device bug reporting can be conducted for mobile software projects. In a study involving 28 participants we applied FUSION to support the maintenance tasks of reporting and reproducing defects from 15 real-world bugs found in 14 open source Android apps while qualitatively and qualitatively measuring the user experience of the system. Our results demonstrate that FUSION both effectively facilitates reporting and allows for more reliable reproduction of bugs from reports compared to traditional issue tracking systems by presenting more detailed contextual app information.","Bug reports, android, reproduction steps, auto-completion",Auto complementar durante o processo de registro da Requisição de Mudança,Reportador,A feramenta utiliza técnicas de decompilação do código fonte,A feramenta utiliza técnicas de decompilação do código fonte,A feramenta utiliza técnicas de decompilação do código fonte,"Google Code Issue Tracker,",Sim,Não,Sim,
08/09/2016 21:12:01,banerjee2012automated,AUTOMATED DUPLICATE BUG REPORT CLASSIFICATION USING SUBSEQUENCE MATCHING,"The use of open bug tracking repositories like Bugzilla is common in many software applications. They allow developers, testers and users the ability to report problems associated with the system and track resolution status. Open and democratic reporting tools, however, face one major challenge: users can, and often do, submit reports describing the same problem. Research in duplicate report detection has primarily focused on word frequency based similarity measures paying little regard to the context or structure of the reporting language. Thus, in large repositories, reports describing different issues may be marked as duplicates due to the frequent use of common words. In this paper, we present Factor LCS, a methodology which utilizes common sequence matching for duplicate report detection. We demonstrate the approach by analyzing the complete Fire fox bug repository up until March 2012 as well as a smaller subset of Eclipse dataset from January 1, 2008 to December 31, 2008. We achieve a duplicate recall rate above 70% with Firefox, which exceeds the results reported on smaller subsets of the same repository.","Verification, String Algorithms, Duplicate Bug Reports, Documentation, Experimentation ",Descoberta de bugs duplicados utilizando a técnica Factor LCS,Gerente de Requisição de Mudança,Stream of characters,Stream of characters,With Logic | Algebra,Bugzilla,Sim,Não,Sim,
08/09/2016 21:41:16,tian2015automated,AUTOMATED PREDICTION OF BUG REPORT PRIORITY USING MULTI-FACTOR ANALYSIS,"Bugs are prevalent. To improve software quality, developers often allow users to report bugs that they found using a bug tracking system such as Bugzilla. Users would specify among other things, a description of the bug, the component that is affected by the bug, and the severity of the bug. Based on this information, bug triagers would then assign a priority level to the reported bug. As resources are limited, bug reports would be investigated based on their priority levels. This priority assignment process however is a manual one. Could we do better? In this paper, we propose an automated approach based on machine learning that would recommend a priority level based on information available in bug reports. Our approach considers multiple factors, temporal, textual, author, related-report, severity, and product, that potentially affect the priority level of a bug report. These factors are extracted as features which are then used to train a discriminative model via a new classification algorithm that handles ordinal class labels and imbalanced data. Experiments on more than a hundred thousands bug reports from Eclipse show that we can outperform baseline approaches in terms of average F-measure by a relative improvement of up to 209 %.","Bug report management, Priority prediction, Multi-factor analysis",Desenvolvimento de um algoritmo para predição da prioridade utilizando multi-fatores,Agendador,Keyword-basead,Stream of characters,With Logic | Algebra,Bugzilla,Sim,Não,Sim,
08/09/2016 22:07:21,shokripour2012automatic,AUTOMATIC BUG ASSIGNMENT USING INFORMATION EXTRACTION METHODS,"The number of reported bugs in large open source projects is high and triaging these bugs is an important issue in software maintenance. As a step in the bug triaging process, assigning a new bug to the most appropriate developer to fix it, is not only a time-consuming and tedious task. The triager, the person who considers a bug and assigns it to a developer, also needs to be aware of developer activities at different parts of the project. It is clear that only a few developers have this ability to carry out this step of bug triaging. The main goal of this paper is to suggest a new approach to the process of performing automatic bug assignment. The information needed to select the best developers to fix a new bug report is extracted from the version control repository of the project. Unlike all the previous suggested approaches which used Machine Learning and Information Retrieval methods, this research employs the Information Extraction (IE) methods to extract the information from the software repositories. The proposed approach does not use the information of the bug repository to make decisions about bugs in order to obtain better results on projects which do not have many fixed bugs. The aim of this research is to recommend the actual fixers of the bugs. Using this approach, we achieved 62%, 43% and 41% accuracies on Eclipse, Mozilla and Gnome projects, respectively."," File Activity Histories, Bug Assignment, Information Extraction, Named Entity Recognition ",Atribuição automática de RM,Agendador,Stream of characters,Stream of characters,Named-entity recognition,Bugzilla,Não,Não,Sim,
08/09/2016 22:16:50,somasundaram2012automatic,AUTOMATIC CATEGORIZATION OF BUG REPORTS USING LATENT DIRICHLET ALLOCATION,"Software developers, particularly in open-source projects, rely on bug repositories to organize their work. On a bug report, the component field is used to indicate to which team of developers a bug should be routed. Researchers have shown that incorrect categorization of newly received bug reports to components can cause potential delays in the resolution of bug reports. Approaches have been developed that consider the use of machine learning approaches, specifically Support Vector Machines (svm), to automatically categorize bug reports into the appropriate component to help streamline the process of solving a bug. One drawback of an SVM-based approach is that the results of categorization can be uneven across various components in the system if some components receive less reports than others. In this paper, we consider broadening the consistency of the recommendations produced by an automatic approach by investigating three approaches to automating bug report categorization: an approach similar to previous ones based on an SVM classifier and Term Frequency Inverse Document Frequency(svm-tf-idf), an approach using Latent Dirichlet Allocation (LDA) with SVM (svm-lda) and an approach using LDA and Kullback Leibler divergence (lda-kl). We found that lda-kl produced recalls similar to those found previously but with better consistency across all components for which bugs must be categorized.","software bug triage, component recommendation, recommendation system",Triage de bug,Agendador,Keyword-basead,Vector space,With Uncertainty | Probability theories,Bugzilla,Sim,Não,Sim,
08/09/2016 22:25:34,kochhar2014automatic,AUTOMATIC FINE-GRAINED ISSUE REPORT RECLASSIFICATION,"Issue tracking systems are valuable resources during software maintenance activities. These systems contain different categories of issue reports such as bug, request for improvement (RFE), documentation, refactoring, task etc. While logging issue reports into a tracking system, reporters can indicate the category of the reports. Herzig et al. Recently reported that more than 40% of issue reports are given wrong categories in issue tracking systems. Among issue reports that are marked as bugs, more than 30% of them are not bug reports. The misclassification of issue reports can adversely affects developers as they then need to manually identify the categories of various issue reports. To address this problem, in this paper we propose an automated technique that reclassifies an issue report into an appropriate category. Our approach extracts various feature values from a bug report and predicts if a bug report needs to be reclassified and its reclassified category. We have evaluated our approach to reclassify more than 7,000 bug reports from HTTP Client, Jackrabbit, Lucene-Java, Rhino, and Tomcat 5 into 1 out of 13 categories. Our experiments show that we can achieve a weighted precision, recall, and F1 (F-measure) score in the ranges of 0.58-0.71, 0.61-0.72, and 0.57-0.71 respectively. In terms of F1, which is the harmonic mean of precision and recall, our approach can substantially outperform several baselines by 28.88%-416.66%."," Reclassification, Issue Reports, Fine-Grained ",Classificação automática de RM,Gerente de Requisição de Mudança,Keyword-basead,Vector space,With Logic | Algebra,JIRA,Sim,Não,Sim,
